# FeatureNumber	PValue
106.0	2.6233658160602564e-112
107.0	0.4424948335370452
108.0	1.5474979126128284e-17
109.0	0.26505818198125797
110.0	8.86374081766924e-18
111.0	0.39565282984723316
112.0	1.4101973256699594e-41
113.0	4.778596652817013e-07
114.0	7.667439186840396e-88
116.0	1.8420719522424885e-57
117.0	0.0
118.0	1.9464834006572736e-25
119.0	0.0
120.0	1.802408938035662e-103
121.0	5.598498586822703e-10
122.0	2.0406185719855124e-25
123.0	4.396000632266287e-171
124.0	4.770850322141323e-118
125.0	0.0
126.0	1.8220017376816779e-09
127.0	0.004204711936782142
128.0	1.1182113531980407e-16
129.0	0.4090699515254413
130.0	1.7321919476365747e-237
131.0	3.8315143041751937e-84
132.0	2.6603191931663916e-85
133.0	7.50437496213366e-91
134.0	5.984738823487224e-11
135.0	1.7256065413709216e-58
136.0	3.1601796313757563e-189
137.0	1.0678948614600313e-31
138.0	3.8225623592252717e-22
139.0	2.4783981062198338e-282
140.0	1.4913340334255308e-233
141.0	1.1300961070705842e-153
142.0	7.836428160910669e-103
143.0	0.0
144.0	2.8594460441119225e-33
145.0	8.253045145581006e-08
146.0	2.1528448503176925e-14
147.0	1.0694125800071708e-46
148.0	2.0603571338782296e-09
150.0	8.861787571503546e-23
151.0	0.0
152.0	0.0
153.0	9.946669456421225e-216
154.0	0.0027117017520256865
155.0	3.856351493655577e-68
156.0	2.9789876432832136e-69
158.0	1.358214746798288e-23
159.0	3.6102604965266266e-304
160.0	8.390726608079747e-124
161.0	5.129081902088516e-177
162.0	1.4675046469133297e-125
163.0	0.5018806645565876
164.0	3.3393678835348027e-52
165.0	1.2456566976963647e-10
166.0	0.0
167.0	1.4379253297840703e-286
168.0	0.0
169.0	0.0
170.0	0.0
171.0	0.0
172.0	0.0
173.0	0.0
174.0	0.0
175.0	0.0
176.0	6.095847746786006e-184
177.0	1.9461271613999294e-77
178.0	4.521842795680722e-212
179.0	3.075398038053189e-16
180.0	8.28575486305907e-12
181.0	5.28363139304337e-07
182.0	1.6275050101435734e-19
183.0	9.073797685068018e-65
184.0	0.0
185.0	0.0
186.0	0.0
187.0	6.38160297053316e-66
188.0	0.43939149426857005
189.0	2.3453509012300467e-15
190.0	0.010453312124692686
191.0	7.899874548795746e-30
192.0	0.0
193.0	0.3389255059733637
194.0	1.2814619200726782e-122
195.0	1.7661406278543672e-255
196.0	4.839973636345688e-188
197.0	0.0
198.0	8.421877831974859e-100
199.0	1.4678890548394952e-11
200.0	4.400232384023687e-20
201.0	1.5626640439166383e-247
202.0	1.3105693349218976e-111
203.0	2.536587696883651e-251
204.0	1.426809074386448e-220
205.0	1.499758665203646e-17
206.0	0.0
207.0	5.59790865843722e-56
208.0	5.767530087908343e-26
209.0	1.6973386548634255e-14
210.0	0.0
211.0	0.0
212.0	1.452470722626568e-55
213.0	1.3641564148272915e-11
214.0	5.736403256029427e-133
215.0	7.72566106018079e-226
216.0	8.041090494947703e-241
217.0	2.2168263292184633e-22
218.0	1.9560833996249844e-19
219.0	3.713996125747367e-81
220.0	0.029673195379717205
221.0	0.9414898538871469
222.0	1.9250548125178167e-197
223.0	0.0
224.0	0.0
225.0	0.0
226.0	7.121543366648823e-180
227.0	2.714644801120696e-88
228.0	7.204292852773272e-85
229.0	0.0005210623406523195
230.0	1.1642983750325497e-63
231.0	3.908032188733515e-74
232.0	2.906629390451949e-153
233.0	2.0333224450198985e-73
234.0	5.228033876224288e-35
235.0	8.436733367618603e-26
236.0	1.1157909420601105e-66
237.0	7.551385531009299e-17
238.0	5.2810601300212986e-132
239.0	4.275243905736482e-08
240.0	1.4362104856425952e-147
241.0	2.731810610870084e-06
242.0	0.0
243.0	0.0
244.0	0.00017680143333365268
245.0	7.038549927511321e-15
246.0	0.0
247.0	2.3403853142058036e-49
248.0	3.750491827154987e-08
249.0	1.1495444011682858e-05
250.0	9.548254485099293e-111
251.0	1.1637378102194639e-253
252.0	2.8815507989810705e-14
253.0	3.139176024272692e-125
254.0	2.576671544886658e-84
255.0	8.436733367618603e-26
256.0	3.048805034969272e-275
257.0	2.59900009785477e-124
258.0	5.563663371027984e-264
259.0	3.688483906604119e-24
260.0	6.821384256858446e-12
261.0	2.809095409415569e-217
262.0	2.708797169825014e-22
263.0	9.948784630946975e-33
264.0	1.327696935019982e-113
265.0	1.0508949638257668e-111
266.0	6.082000595557568e-107
267.0	6.09361534072996e-13
268.0	1.0474056514255502e-21
269.0	0.008948931884157577
270.0	0.3123330202166905
271.0	0.29660290976683734
272.0	5.946412376703574e-13
273.0	0.2987598676576925
274.0	0.3858707288879394
275.0	1.7834235463261922e-52
276.0	2.2437093402381695e-58
277.0	2.6314162873763027e-40
278.0	3.256729104866692e-119
279.0	2.0744226032236651e-66
280.0	1.697014882861877e-185
281.0	3.851638543496752e-243
282.0	0.0
283.0	6.801508697934936e-215
284.0	6.414887746921933e-69
285.0	0.006996183838328405
286.0	0.041708957837398586
287.0	5.3114826007458484e-09
288.0	1.777905731342231e-77
289.0	1.6125115258885189e-167
290.0	2.979115706517929e-82
291.0	1.591506153215308e-97
292.0	9.757570387628544e-132
293.0	0.0
294.0	0.0
295.0	2.0183823755894197e-10
296.0	1.3029555688756402e-08
297.0	8.816353156829427e-20
298.0	8.436733367618603e-26
299.0	4.054708933839855e-82
