	MA	gene_name	gene_name2	ensembl-gene	ensembl-transcript
113	MA0122.2	NKX3-2	NKX3-2	ENSG00000109705	ENST00000382438
114	MA0124.1	NKX3-1	NKX3-1	ENSG00000167034	['ENST00000380871', 'ENST00000523261']
115	MA0130.1	ZNF354C	ZNF354C	ENSG00000177932	ENST00000315475
116	MA0131.1	HINFP	HINFP	ENSG00000172273	['ENST00000350777', 'ENST00000527206', 'ENST00000527354', 'ENST00000527410', 'ENST00000527755', 'ENST00000529354', 'ENST00000529610', 'ENST00000529808', 'ENST00000529988', 'ENST00000530678', 'ENST00000531022', 'ENST00000531360', 'ENST00000532312', 'ENST00000532860']
117	MA0131.2	HINFP	HINFP	ENSG00000172273	['ENST00000350777', 'ENST00000527206', 'ENST00000527354', 'ENST00000527410', 'ENST00000527755', 'ENST00000529354', 'ENST00000529610', 'ENST00000529808', 'ENST00000529988', 'ENST00000530678', 'ENST00000531022', 'ENST00000531360', 'ENST00000532312', 'ENST00000532860']
118	MA0132.2	PDX1	PDX1	ENSG00000139515	ENST00000381033
119	MA0136.2	ELF5	ELF5	ENSG00000135374	['ENST00000257832', 'ENST00000312319', 'ENST00000429939', 'ENST00000528709', 'ENST00000532417', 'ENST00000620316']
120	MA0137.1	STAT1	STAT1	ENSG00000115415	['ENST00000361099', 'ENST00000392322', 'ENST00000392323', 'ENST00000409465', 'ENST00000415035', 'ENST00000423282', 'ENST00000424722', 'ENST00000432058', 'ENST00000452281', 'ENST00000454414', 'ENST00000464072', 'ENST00000540176']
121	MA0137.2	STAT1	STAT1	ENSG00000115415	['ENST00000361099', 'ENST00000392322', 'ENST00000392323', 'ENST00000409465', 'ENST00000415035', 'ENST00000423282', 'ENST00000424722', 'ENST00000432058', 'ENST00000452281', 'ENST00000454414', 'ENST00000464072', 'ENST00000540176']
122	MA0137.3	STAT1	STAT1	ENSG00000115415	['ENST00000361099', 'ENST00000392322', 'ENST00000392323', 'ENST00000409465', 'ENST00000415035', 'ENST00000423282', 'ENST00000424722', 'ENST00000432058', 'ENST00000452281', 'ENST00000454414', 'ENST00000464072', 'ENST00000540176']
123	MA0138.1	REST	REST	ENSG00000084093	['ENST00000309042', 'ENST00000503522', 'ENST00000511065', 'ENST00000514063', 'ENST00000611211', 'ENST00000612429', 'ENST00000616975', 'ENST00000619101', 'ENST00000622863', 'ENST00000638187', 'ENST00000640168', 'ENST00000640343']
124	MA0138.2	REST	REST	ENSG00000084093	['ENST00000309042', 'ENST00000503522', 'ENST00000511065', 'ENST00000514063', 'ENST00000611211', 'ENST00000612429', 'ENST00000616975', 'ENST00000619101', 'ENST00000622863', 'ENST00000638187', 'ENST00000640168', 'ENST00000640343']
