	MA	gene_name	gene_name2	ensembl-gene	ensembl-transcript
194	MA0501.1	MAF::NFE2	MAF	ENSG00000178573	['ENST00000326043', 'ENST00000393350', 'ENST00000569649']
195	MA0502.1	NFYB	NFYB	ENSG00000120837	['ENST00000240055', 'ENST00000550189', 'ENST00000550881', 'ENST00000551446', 'ENST00000551727']
196	MA0504.1	NR2C2	NR2C2	ENSG00000177463	['ENST00000323373', 'ENST00000393102', 'ENST00000406272', 'ENST00000413118', 'ENST00000413194', 'ENST00000425241', 'ENST00000435454', 'ENST00000437120', 'ENST00000439011', 'ENST00000475707', 'ENST00000478572', 'ENST00000495282', 'ENST00000617312']
197	MA0506.1	NRF1	NRF1	ENSG00000106459	['ENST00000223190', 'ENST00000311967', 'ENST00000353868', 'ENST00000393230', 'ENST00000393232', 'ENST00000454688', 'ENST00000477428']
198	MA0507.1	POU2F2	POU2F2	ENSG00000028277	['ENST00000342301', 'ENST00000389341', 'ENST00000524801', 'ENST00000526816', 'ENST00000526831', 'ENST00000528894', 'ENST00000529067', 'ENST00000529952', 'ENST00000530982', 'ENST00000531773', 'ENST00000532176', 'ENST00000533548', 'ENST00000534559', 'ENST00000558596', 'ENST00000560398', 'ENST00000560558', 'ENST00000560804', 'ENST00000598842', 'ENST00000625670', 'ENST00000636631']
199	MA0508.1	PRDM1	PRDM1	ENSG00000057657	['ENST00000369089', 'ENST00000369091', 'ENST00000369096', 'ENST00000424894', 'ENST00000450060', 'ENST00000481163', 'ENST00000489365', 'ENST00000648754', 'ENST00000651185', 'ENST00000652320']
200	MA0508.2	PRDM1	PRDM1	ENSG00000057657	['ENST00000369089', 'ENST00000369091', 'ENST00000369096', 'ENST00000424894', 'ENST00000450060', 'ENST00000481163', 'ENST00000489365', 'ENST00000648754', 'ENST00000651185', 'ENST00000652320']
201	MA0510.1	RFX5	RFX5	ENSG00000143390	['ENST00000290524', 'ENST00000368870', 'ENST00000392746', 'ENST00000412774', 'ENST00000421986', 'ENST00000422595', 'ENST00000430227', 'ENST00000435314', 'ENST00000436271', 'ENST00000436637', 'ENST00000437327', 'ENST00000444392', 'ENST00000450506', 'ENST00000452456', 'ENST00000452671', 'ENST00000458484', 'ENST00000469513', 'ENST00000475144', 'ENST00000478564', 'ENST00000479681', 'ENST00000494217']
202	MA0510.2	RFX5	RFX5	ENSG00000143390	['ENST00000290524', 'ENST00000368870', 'ENST00000392746', 'ENST00000412774', 'ENST00000421986', 'ENST00000422595', 'ENST00000430227', 'ENST00000435314', 'ENST00000436271', 'ENST00000436637', 'ENST00000437327', 'ENST00000444392', 'ENST00000450506', 'ENST00000452456', 'ENST00000452671', 'ENST00000458484', 'ENST00000469513', 'ENST00000475144', 'ENST00000478564', 'ENST00000479681', 'ENST00000494217']
203	MA0511.1	RUNX2	RUNX2	ENSG00000124813	['ENST00000359524', 'ENST00000371432', 'ENST00000371436', 'ENST00000371438', 'ENST00000465038', 'ENST00000473041', 'ENST00000478660', 'ENST00000483243', 'ENST00000483377', 'ENST00000576263', 'ENST00000625924', 'ENST00000646519', 'ENST00000647337']
204	MA0511.2	RUNX2	RUNX2	ENSG00000124813	['ENST00000359524', 'ENST00000371432', 'ENST00000371436', 'ENST00000371438', 'ENST00000465038', 'ENST00000473041', 'ENST00000478660', 'ENST00000483243', 'ENST00000483377', 'ENST00000576263', 'ENST00000625924', 'ENST00000646519', 'ENST00000647337']
205	MA0513.1	SMAD2::SMAD3::SMAD4	SMAD2	ENSG00000175387	['ENST00000262160', 'ENST00000356825', 'ENST00000402690', 'ENST00000585978', 'ENST00000586040', 'ENST00000586487', 'ENST00000586514', 'ENST00000587269', 'ENST00000587353', 'ENST00000587421', 'ENST00000589877', 'ENST00000591214']
206	MA0516.1	SP2	SP2	ENSG00000167182	['ENST00000376741', 'ENST00000613139', 'ENST00000635868', 'ENST00000637314', 'ENST00000637943', 'ENST00000642065']
207	MA0517.1	STAT1::STAT2	STAT1	ENSG00000115415	['ENST00000361099', 'ENST00000392322', 'ENST00000392323', 'ENST00000409465', 'ENST00000415035', 'ENST00000423282', 'ENST00000424722', 'ENST00000432058', 'ENST00000452281', 'ENST00000454414', 'ENST00000464072', 'ENST00000540176']
208	MA0522.2	TCF3	TCF3	ENSG00000071564	['ENST00000262965', 'ENST00000344749', 'ENST00000395423', 'ENST00000453954', 'ENST00000585731', 'ENST00000585855', 'ENST00000586164', 'ENST00000586318', 'ENST00000586410', 'ENST00000587235', 'ENST00000587425', 'ENST00000588136', 'ENST00000590436', 'ENST00000590605', 'ENST00000590684', 'ENST00000592395', 'ENST00000592628', 'ENST00000593064', 'ENST00000610756', 'ENST00000611869', 'ENST00000651991']
209	MA0523.1	TCF7L2	TCF7L2	ENSG00000148737	['ENST00000277945', 'ENST00000346198', 'ENST00000349937', 'ENST00000352065', 'ENST00000355717', 'ENST00000355995', 'ENST00000369386', 'ENST00000369389', 'ENST00000369395', 'ENST00000369397', 'ENST00000466338', 'ENST00000470254', 'ENST00000471569', 'ENST00000480888', 'ENST00000494353', 'ENST00000534894', 'ENST00000536810', 'ENST00000538897', 'ENST00000542695', 'ENST00000543371', 'ENST00000545257', 'ENST00000627217', 'ENST00000629706', 'ENST00000636236', 'ENST00000636309', 'ENST00000636447', 'ENST00000636585', 'ENST00000637321', 'ENST00000637416', 'ENST00000637574']
210	MA0524.1	TFAP2C	TFAP2C	ENSG00000087510	['ENST00000201031', 'ENST00000416606']
211	MA0524.2	TFAP2C	TFAP2C	ENSG00000087510	['ENST00000201031', 'ENST00000416606']
212	MA0525.1	TP63	TP63	ENSG00000073282	['ENST00000264731', 'ENST00000320472', 'ENST00000354600', 'ENST00000392460', 'ENST00000392461', 'ENST00000392463', 'ENST00000418709', 'ENST00000434928', 'ENST00000437221', 'ENST00000440651', 'ENST00000449992', 'ENST00000456148', 'ENST00000460036', 'ENST00000486398']
213	MA0525.2	TP63	TP63	ENSG00000073282	['ENST00000264731', 'ENST00000320472', 'ENST00000354600', 'ENST00000392460', 'ENST00000392461', 'ENST00000392463', 'ENST00000418709', 'ENST00000434928', 'ENST00000437221', 'ENST00000440651', 'ENST00000449992', 'ENST00000456148', 'ENST00000460036', 'ENST00000486398']
214	MA0526.1	USF2	USF2	ENSG00000105698	['ENST00000222305', 'ENST00000343550', 'ENST00000379134', 'ENST00000593708', 'ENST00000594064', 'ENST00000594264', 'ENST00000595068', 'ENST00000596380', 'ENST00000597671', 'ENST00000598058', 'ENST00000599471', 'ENST00000599625', 'ENST00000600341', 'ENST00000600898', 'ENST00000602164', 'ENST00000607959']
215	MA0526.2	USF2	USF2	ENSG00000105698	['ENST00000222305', 'ENST00000343550', 'ENST00000379134', 'ENST00000593708', 'ENST00000594064', 'ENST00000594264', 'ENST00000595068', 'ENST00000596380', 'ENST00000597671', 'ENST00000598058', 'ENST00000599471', 'ENST00000599625', 'ENST00000600341', 'ENST00000600898', 'ENST00000602164', 'ENST00000607959']
216	MA0527.1	ZBTB33	ZBTB33	ENSG00000177485	['ENST00000326624', 'ENST00000557385']
217	MA0528.1	ZNF263	ZNF263	ENSG00000006194	['ENST00000219069', 'ENST00000538765', 'ENST00000572748', 'ENST00000573578', 'ENST00000574253', 'ENST00000574674', 'ENST00000575332', 'ENST00000575823']
218	MA0592.1	ESRRA	ESRRA	ENSG00000173153	['ENST00000000442', 'ENST00000405666', 'ENST00000406310', 'ENST00000467987', 'ENST00000468670', 'ENST00000539594', 'ENST00000545035']
219	MA0593.1	FOXP2	FOXP2	ENSG00000128573	['ENST00000350908', 'ENST00000360232', 'ENST00000378237', 'ENST00000390668', 'ENST00000393489', 'ENST00000393491', 'ENST00000393494', 'ENST00000393495', 'ENST00000393498', 'ENST00000403559', 'ENST00000408937', 'ENST00000412402', 'ENST00000440349', 'ENST00000441290', 'ENST00000452963', 'ENST00000459666', 'ENST00000462331', 'ENST00000495516', 'ENST00000634372', 'ENST00000634411', 'ENST00000634623', 'ENST00000634664', 'ENST00000635109', 'ENST00000635534', 'ENST00000635563', 'ENST00000635638', 'ENST00000638397']
220	MA0595.1	SREBF1	SREBF1	ENSG00000072310	['ENST00000261646', 'ENST00000355815', 'ENST00000395751', 'ENST00000395756', 'ENST00000395757', 'ENST00000423161', 'ENST00000447641', 'ENST00000469356', 'ENST00000470247', 'ENST00000471445', 'ENST00000476994', 'ENST00000478616', 'ENST00000485080', 'ENST00000486311', 'ENST00000487401', 'ENST00000490796', 'ENST00000577897', 'ENST00000578469', 'ENST00000580540', 'ENST00000581707', 'ENST00000583080', 'ENST00000583732', 'ENST00000584760']
221	MA0596.1	SREBF2	SREBF2	ENSG00000198911	['ENST00000361204', 'ENST00000424354', 'ENST00000435061', 'ENST00000462539', 'ENST00000463741', 'ENST00000464119', 'ENST00000490262', 'ENST00000491541', 'ENST00000612482']
222	MA0597.1	THAP1	THAP1	ENSG00000131931	['ENST00000254250', 'ENST00000345117', 'ENST00000529779', 'ENST00000532093']
223	MA0598.1	EHF	EHF	ENSG00000135373	['ENST00000257831', 'ENST00000450654', 'ENST00000525253', 'ENST00000527001', 'ENST00000527935', 'ENST00000529161', 'ENST00000529527', 'ENST00000530286', 'ENST00000531728', 'ENST00000531794', 'ENST00000532302', 'ENST00000533754']
224	MA0598.2	EHF	EHF	ENSG00000135373	['ENST00000257831', 'ENST00000450654', 'ENST00000525253', 'ENST00000527001', 'ENST00000527935', 'ENST00000529161', 'ENST00000529527', 'ENST00000530286', 'ENST00000531728', 'ENST00000531794', 'ENST00000532302', 'ENST00000533754']
225	MA0599.1	KLF5	KLF5	ENSG00000102554	['ENST00000377687', 'ENST00000464404', 'ENST00000476859', 'ENST00000477333', 'ENST00000539231']
226	MA0600.1	RFX2	RFX2	ENSG00000087903	['ENST00000303657', 'ENST00000359161', 'ENST00000585324', 'ENST00000586302', 'ENST00000586806', 'ENST00000586940', 'ENST00000587181', 'ENST00000587321', 'ENST00000587700', 'ENST00000588021', 'ENST00000589340', 'ENST00000589523', 'ENST00000589641', 'ENST00000589712', 'ENST00000589742', 'ENST00000590778', 'ENST00000590822', 'ENST00000592172', 'ENST00000592281', 'ENST00000592337', 'ENST00000592473', 'ENST00000592546', 'ENST00000592883', 'ENST00000593241']
227	MA0600.2	RFX2	RFX2	ENSG00000087903	['ENST00000303657', 'ENST00000359161', 'ENST00000585324', 'ENST00000586302', 'ENST00000586806', 'ENST00000586940', 'ENST00000587181', 'ENST00000587321', 'ENST00000587700', 'ENST00000588021', 'ENST00000589340', 'ENST00000589523', 'ENST00000589641', 'ENST00000589712', 'ENST00000589742', 'ENST00000590778', 'ENST00000590822', 'ENST00000592172', 'ENST00000592281', 'ENST00000592337', 'ENST00000592473', 'ENST00000592546', 'ENST00000592883', 'ENST00000593241']
228	MA0610.1	DMRT3	DMRT3	ENSG00000064218	['ENST00000190165', 'ENST00000417254']
229	MA0612.1	EMX1	EMX1	ENSG00000135638	['ENST00000258106', 'ENST00000394111', 'ENST00000464675', 'ENST00000473732', 'ENST00000491023', 'ENST00000616281']
230	MA0613.1	FOXG1	FOXG1	ENSG00000176165	['ENST00000313071', 'ENST00000636346', 'ENST00000636353', 'ENST00000636604', 'ENST00000636893', 'ENST00000637220', 'ENST00000637351', 'ENST00000637817']
231	MA0618.1	LBX1	LBX1	ENSG00000138136	ENST00000370193
232	MA0620.2	MITF	MITF	ENSG00000187098	['ENST00000314557', 'ENST00000314589', 'ENST00000328528', 'ENST00000352241', 'ENST00000394348', 'ENST00000394351', 'ENST00000429090', 'ENST00000433517', 'ENST00000448226', 'ENST00000451708', 'ENST00000457080', 'ENST00000461014', 'ENST00000461511', 'ENST00000472437', 'ENST00000478490', 'ENST00000495741', 'ENST00000531774', 'ENST00000642352']
233	MA0625.1	NFATC3	NFATC3	ENSG00000072736	['ENST00000329524', 'ENST00000346183', 'ENST00000349223', 'ENST00000379165', 'ENST00000535127', 'ENST00000539828', 'ENST00000549350', 'ENST00000553077', 'ENST00000561714', 'ENST00000562171', 'ENST00000562926', 'ENST00000563288', 'ENST00000563319', 'ENST00000563796', 'ENST00000565750', 'ENST00000566301', 'ENST00000566893', 'ENST00000567152', 'ENST00000568466', 'ENST00000569766', 'ENST00000570212', 'ENST00000575270']
234	MA0628.1	POU6F1	POU6F1	ENSG00000184271	['ENST00000333640', 'ENST00000546685', 'ENST00000547854', 'ENST00000547855', 'ENST00000548692', 'ENST00000549309', 'ENST00000550824', 'ENST00000552305', 'ENST00000636068', 'ENST00000636119', 'ENST00000636728']
235	MA0630.1	SHOX	SHOX	ENSG00000185960	['ENST00000334060', 'ENST00000381575', 'ENST00000381578']
236	MA0634.1	ALX3	ALX3	ENSG00000156150	['ENST00000369792', 'ENST00000647563', 'ENST00000649954']
237	MA0635.1	BARHL2	BARHL2	ENSG00000143032	ENST00000370445
238	MA0636.1	BHLHE41	BHLHE41	ENSG00000123095	['ENST00000242728', 'ENST00000394326', 'ENST00000541271']
239	MA0637.1	CENPB	CENPB	ENSG00000125817	ENST00000379751
240	MA0638.1	CREB3	CREB3	ENSG00000107175	['ENST00000353704', 'ENST00000486056']
241	MA0639.1	DBP	DBP	ENSG00000105516	['ENST00000222122', 'ENST00000593500', 'ENST00000594723', 'ENST00000599385', 'ENST00000601104']
242	MA0640.1	ELF3	ELF3	ENSG00000163435	['ENST00000359651', 'ENST00000367283', 'ENST00000367284', 'ENST00000446188', 'ENST00000470384', 'ENST00000475698', 'ENST00000479874', 'ENST00000490203', 'ENST00000495848', 'ENST00000498017']
243	MA0641.1	ELF4	ELF4	ENSG00000102034	['ENST00000308167', 'ENST00000335997', 'ENST00000434609', 'ENST00000615377']
244	MA0642.1	EN2	EN2	ENSG00000164778	ENST00000297375
245	MA0644.1	ESX1	ESX1	ENSG00000123576	ENST00000372588
246	MA0645.1	ETV6	ETV6	ENSG00000139083	['ENST00000266427', 'ENST00000396373', 'ENST00000541426', 'ENST00000544715', 'ENST00000545027']
247	MA0646.1	GCM1	GCM1	ENSG00000137270	ENST00000259803
248	MA0647.1	GRHL1	GRHL1	ENSG00000134317	['ENST00000324907', 'ENST00000405379', 'ENST00000439493', 'ENST00000464418', 'ENST00000472167', 'ENST00000480736', 'ENST00000494520', 'ENST00000497403']
249	MA0648.1	GSC	GSC	ENSG00000133937	ENST00000238558
250	MA0649.1	HEY2	HEY2	ENSG00000135547	['ENST00000368364', 'ENST00000368365']
251	MA0650.1	HOXA13	HOXA13	ENSG00000106031	['ENST00000222753', 'ENST00000518136', 'ENST00000649031']
252	MA0651.1	HOXC11	HOXC11	ENSG00000123388	['ENST00000243082', 'ENST00000546378']
253	MA0652.1	IRF8	IRF8	ENSG00000140968	['ENST00000268638', 'ENST00000562492', 'ENST00000563180', 'ENST00000564056', 'ENST00000564617', 'ENST00000564803', 'ENST00000565552', 'ENST00000566369', 'ENST00000569145', 'ENST00000569607', 'ENST00000570088']
254	MA0653.1	IRF9	IRF9	ENSG00000285048	['ENST00000642362', 'ENST00000642897', 'ENST00000643109', 'ENST00000643353', 'ENST00000643458', 'ENST00000644396', 'ENST00000645044', 'ENST00000645060', 'ENST00000645216', 'ENST00000645875', 'ENST00000645993', 'ENST00000646067', 'ENST00000646071', 'ENST00000647149', 'ENST00000647272']
255	MA0654.1	ISX	ISX	ENSG00000175329	['ENST00000308700', 'ENST00000404699']
256	MA0655.1	JDP2	JDP2	ENSG00000140044	['ENST00000267569', 'ENST00000419727', 'ENST00000435893', 'ENST00000437176', 'ENST00000558068', 'ENST00000559060', 'ENST00000559773', 'ENST00000651602']
257	MA0656.1	JDP2(var.2)	JDP2	ENSG00000140044	['ENST00000267569', 'ENST00000419727', 'ENST00000435893', 'ENST00000437176', 'ENST00000558068', 'ENST00000559060', 'ENST00000559773', 'ENST00000651602']
258	MA0657.1	KLF13	KLF13	ENSG00000169926	['ENST00000307145', 'ENST00000500533', 'ENST00000558225', 'ENST00000558673', 'ENST00000558844', 'ENST00000558921', 'ENST00000560473']
259	MA0658.1	LHX6	LHX6	ENSG00000106852	['ENST00000340587', 'ENST00000373754', 'ENST00000373755', 'ENST00000394319', 'ENST00000464484', 'ENST00000482062', 'ENST00000541397', 'ENST00000558672', 'ENST00000559529', 'ENST00000559895', 'ENST00000560152', 'ENST00000560485']
260	MA0659.1	MAFG	MAFG	ENSG00000197063	['ENST00000357736', 'ENST00000392366', 'ENST00000574686']
261	MA0660.1	MEF2B	MEF2B	ENSG00000213999	['ENST00000409224', 'ENST00000409447', 'ENST00000410050', 'ENST00000424583']
262	MA0661.1	MEOX1	MEOX1	ENSG00000005102	['ENST00000318579', 'ENST00000329168', 'ENST00000393661', 'ENST00000549132']
263	MA0662.1	MIXL1	MIXL1	ENSG00000185155	['ENST00000366810', 'ENST00000542034', 'ENST00000557734']
264	MA0663.1	MLX	MLX	ENSG00000108788	['ENST00000246912', 'ENST00000346833', 'ENST00000435881', 'ENST00000585403', 'ENST00000586393', 'ENST00000588320', 'ENST00000590050', 'ENST00000590084', 'ENST00000591024', 'ENST00000591195', 'ENST00000592717']
265	MA0664.1	MLXIPL	MLXIPL	ENSG00000009950	['ENST00000313375', 'ENST00000345114', 'ENST00000354613', 'ENST00000414749', 'ENST00000429400', 'ENST00000434326', 'ENST00000453275', 'ENST00000456640', 'ENST00000467221', 'ENST00000476404', 'ENST00000488212']
266	MA0665.1	MSC	MSC	ENSG00000178860	['ENST00000325509', 'ENST00000518440', 'ENST00000521739']
267	MA0666.1	MSX1	MSX1	ENSG00000163132	['ENST00000382723', 'ENST00000468421', 'ENST00000652146']
268	MA0667.1	MYF6	MYF6	ENSG00000111046	ENST00000228641
269	MA0668.1	NEUROD2	NEUROD2	ENSG00000171532	['ENST00000302584', 'ENST00000580874']
270	MA0669.1	NEUROG2	NEUROG2	ENSG00000178403	ENST00000313341
271	MA0670.1	NFIA	NFIA	ENSG00000162599	['ENST00000357977', 'ENST00000371184', 'ENST00000371185', 'ENST00000371187', 'ENST00000371189', 'ENST00000371191', 'ENST00000403491', 'ENST00000407417', 'ENST00000476646', 'ENST00000479364', 'ENST00000482020', 'ENST00000485903', 'ENST00000493627', 'ENST00000496712']
272	MA0671.1	NFIX	NFIX	ENSG00000008441	['ENST00000358552', 'ENST00000360105', 'ENST00000397661', 'ENST00000585382', 'ENST00000585575', 'ENST00000586797', 'ENST00000586873', 'ENST00000587260', 'ENST00000587760', 'ENST00000588228', 'ENST00000588680', 'ENST00000590027', 'ENST00000591028', 'ENST00000592199']
273	MA0672.1	NKX2-3	NKX2-3	ENSG00000119919	['ENST00000344586', 'ENST00000622383']
274	MA0673.1	NKX2-8	NKX2-8	ENSG00000136327	ENST00000258829
275	MA0674.1	NKX6-1	NKX6-1	ENSG00000163623	['ENST00000295886', 'ENST00000515820']
276	MA0675.1	NKX6-2	NKX6-2	ENSG00000148826	['ENST00000368592', 'ENST00000441365']
277	MA0678.1	OLIG2	OLIG2	ENSG00000205927	['ENST00000333337', 'ENST00000382357', 'ENST00000430860']
278	MA0679.1	ONECUT1	ONECUT1	ENSG00000169856	['ENST00000305901', 'ENST00000560699', 'ENST00000561401', 'ENST00000570208']
279	MA0680.1	PAX7	PAX7	ENSG00000009709	['ENST00000375375', 'ENST00000400661', 'ENST00000420770']
280	MA0683.1	POU4F2	POU4F2	ENSG00000151615	ENST00000281321
281	MA0684.1	RUNX3	RUNX3	ENSG00000020633	['ENST00000308873', 'ENST00000338888', 'ENST00000399916', 'ENST00000479341', 'ENST00000496967']
282	MA0685.1	SP4	SP4	ENSG00000105866	['ENST00000222584', 'ENST00000432066', 'ENST00000440636', 'ENST00000448246', 'ENST00000649633']
283	MA0686.1	SPDEF	SPDEF	ENSG00000124664	['ENST00000374037', 'ENST00000544425']
284	MA0687.1	SPIC	SPIC	ENSG00000166211	ENST00000551346
285	MA0688.1	TBX2	TBX2	ENSG00000121068	['ENST00000240328', 'ENST00000419047', 'ENST00000477081', 'ENST00000586986']
286	MA0689.1	TBX20	TBX20	ENSG00000164532	['ENST00000408931', 'ENST00000492961']
287	MA0690.1	TBX21	TBX21	ENSG00000073861	['ENST00000177694', 'ENST00000581328']
288	MA0691.1	TFAP4	TFAP4	ENSG00000090447	['ENST00000204517', 'ENST00000572393', 'ENST00000573476', 'ENST00000574639', 'ENST00000575300', 'ENST00000575320', 'ENST00000575672']
289	MA0692.1	TFEB	TFEB	ENSG00000112561	['ENST00000230323', 'ENST00000343317', 'ENST00000358871', 'ENST00000373033', 'ENST00000394283', 'ENST00000403298', 'ENST00000406563', 'ENST00000416140', 'ENST00000419396', 'ENST00000419574', 'ENST00000420312', 'ENST00000424495', 'ENST00000425401', 'ENST00000433032', 'ENST00000445214', 'ENST00000445700', 'ENST00000494822']
290	MA0693.2	VDR	VDR	ENSG00000111424	['ENST00000229022', 'ENST00000395324', 'ENST00000546653', 'ENST00000547065', 'ENST00000548664', 'ENST00000549336', 'ENST00000550314', 'ENST00000550325']
291	MA0694.1	ZBTB7B	ZBTB7B	ENSG00000160685	['ENST00000292176', 'ENST00000368426', 'ENST00000417934', 'ENST00000461530', 'ENST00000483226', 'ENST00000487542', 'ENST00000535420']
292	MA0695.1	ZBTB7C	ZBTB7C	ENSG00000184828	['ENST00000535628', 'ENST00000585404', 'ENST00000586047', 'ENST00000586438', 'ENST00000586525', 'ENST00000586743', 'ENST00000587107', 'ENST00000588028', 'ENST00000588053', 'ENST00000588149', 'ENST00000588566', 'ENST00000588970', 'ENST00000588982', 'ENST00000589077', 'ENST00000589170', 'ENST00000589194', 'ENST00000589619', 'ENST00000590178', 'ENST00000590374', 'ENST00000590437', 'ENST00000590800', 'ENST00000590855', 'ENST00000591279', 'ENST00000591405', 'ENST00000591526', 'ENST00000592387', 'ENST00000592656', 'ENST00000593159']
293	MA0696.1	ZIC1	ZIC1	ENSG00000152977	['ENST00000282928', 'ENST00000472523', 'ENST00000474034', 'ENST00000481840', 'ENST00000488404']
294	MA0697.1	ZIC3	ZIC3	ENSG00000156925	['ENST00000287538', 'ENST00000370606', 'ENST00000478471']
295	MA0698.1	ZBTB18	ZBTB18	ENSG00000179456	['ENST00000358704', 'ENST00000622512']
296	MA0699.1	LBX2	LBX2	ENSG00000179528	['ENST00000341396', 'ENST00000377566', 'ENST00000460508', 'ENST00000479098', 'ENST00000550249', 'ENST00000618878']
297	MA0700.1	LHX2	LHX2	ENSG00000106689	['ENST00000373615', 'ENST00000446480', 'ENST00000488674', 'ENST00000560961']
298	MA0701.1	LHX9	LHX9	ENSG00000143355	['ENST00000367387', 'ENST00000367388', 'ENST00000367390', 'ENST00000367391', 'ENST00000475727', 'ENST00000561173', 'ENST00000606127', 'ENST00000615520']
299	MA0702.1	LMX1A	LMX1A	ENSG00000162761	['ENST00000294816', 'ENST00000342310', 'ENST00000367893', 'ENST00000489443']
300	MA0703.1	LMX1B	LMX1B	ENSG00000136944	['ENST00000355497', 'ENST00000373474', 'ENST00000526117', 'ENST00000561065']
301	MA0706.1	MEOX2	MEOX2	ENSG00000106511	ENST00000262041
302	MA0707.1	MNX1	MNX1	ENSG00000130675	['ENST00000252971', 'ENST00000425745', 'ENST00000428439', 'ENST00000469500', 'ENST00000474448', 'ENST00000479817', 'ENST00000543409', 'ENST00000605400']
303	MA0708.1	MSX2	MSX2	ENSG00000120149	['ENST00000239243', 'ENST00000507785']
304	MA0710.1	NOTO	NOTO	ENSG00000214513	ENST00000398468
305	MA0711.1	OTX1	OTX1	ENSG00000115507	['ENST00000282549', 'ENST00000366671', 'ENST00000405984', 'ENST00000476383', 'ENST00000477348', 'ENST00000484066']
306	MA0712.1	OTX2	OTX2	ENSG00000165588	['ENST00000339475', 'ENST00000408990', 'ENST00000554559', 'ENST00000554788', 'ENST00000554845', 'ENST00000555006', 'ENST00000555804']
307	MA0713.1	PHOX2A	PHOX2A	ENSG00000165462	['ENST00000298231', 'ENST00000544057', 'ENST00000546310']
308	MA0714.1	PITX3	PITX3	ENSG00000107859	['ENST00000370002', 'ENST00000539804']
309	MA0715.1	PROP1	PROP1	ENSG00000274382	ENST00000614006
310	MA0716.1	PRRX1	PRRX1	ENSG00000116132	['ENST00000239461', 'ENST00000367760', 'ENST00000476867', 'ENST00000485529', 'ENST00000495280', 'ENST00000496573', 'ENST00000497230', 'ENST00000553786']
311	MA0717.1	RAX2	RAX2	ENSG00000173976	['ENST00000555633', 'ENST00000555978']
312	MA0718.1	RAX	RAX	ENSG00000134438	['ENST00000256852', 'ENST00000334889', 'ENST00000555288', 'ENST00000591550']
313	MA0719.1	RHOXF1	RHOXF1	ENSG00000101883	ENST00000217999
314	MA0721.1	UNCX	UNCX	ENSG00000164853	ENST00000316333
315	MA0722.1	VAX1	VAX1	ENSG00000148704	['ENST00000277905', 'ENST00000369206']
316	MA0723.1	VAX2	VAX2	ENSG00000116035	['ENST00000234392', 'ENST00000432367', 'ENST00000646783']
317	MA0724.1	VENTX	VENTX	ENSG00000151650	ENST00000325980
318	MA0725.1	VSX1	VSX1	ENSG00000100987	['ENST00000376707', 'ENST00000376709', 'ENST00000409285', 'ENST00000409958', 'ENST00000429762', 'ENST00000444511', 'ENST00000557285']
319	MA0726.1	VSX2	VSX2	ENSG00000119614	ENST00000261980
320	MA0727.1	NR3C2	NR3C2	ENSG00000151623	['ENST00000342437', 'ENST00000344721', 'ENST00000358102', 'ENST00000503174', 'ENST00000503313', 'ENST00000504753', 'ENST00000511528', 'ENST00000512865', 'ENST00000625323']
321	MA0729.1	RARA	RARA	ENSG00000131759	['ENST00000254066', 'ENST00000394081', 'ENST00000394086', 'ENST00000394089', 'ENST00000420042', 'ENST00000425707', 'ENST00000475125', 'ENST00000577646', 'ENST00000579727', 'ENST00000582914']
322	MA0730.1	RARA(var.2)	RARA	ENSG00000131759	['ENST00000254066', 'ENST00000394081', 'ENST00000394086', 'ENST00000394089', 'ENST00000420042', 'ENST00000425707', 'ENST00000475125', 'ENST00000577646', 'ENST00000579727', 'ENST00000582914']
323	MA0731.1	BCL6B	BCL6B	ENSG00000161940	['ENST00000293805', 'ENST00000537931', 'ENST00000571729', 'ENST00000572216', 'ENST00000573503', 'ENST00000576705']
324	MA0732.1	EGR3	EGR3	ENSG00000179388	['ENST00000317216', 'ENST00000518773', 'ENST00000519492', 'ENST00000522910', 'ENST00000524088']
325	MA0733.1	EGR4	EGR4	ENSG00000135625	['ENST00000436467', 'ENST00000545030']
326	MA0734.1	GLI2	GLI2	ENSG00000074047	['ENST00000341310', 'ENST00000360874', 'ENST00000361492', 'ENST00000418323', 'ENST00000433812', 'ENST00000435313', 'ENST00000437950', 'ENST00000438299', 'ENST00000445186', 'ENST00000452319', 'ENST00000452692', 'ENST00000472722', 'ENST00000482119']
327	MA0735.1	GLIS1	GLIS1	ENSG00000174332	['ENST00000312233', 'ENST00000628545']
328	MA0736.1	GLIS2	GLIS2	ENSG00000274636	['ENST00000612491', 'ENST00000633051']
329	MA0737.1	GLIS3	GLIS3	ENSG00000107249	['ENST00000324333', 'ENST00000381971', 'ENST00000461870', 'ENST00000462164', 'ENST00000463680', 'ENST00000464391', 'ENST00000465708', 'ENST00000467497', 'ENST00000469833', 'ENST00000471664', 'ENST00000473846', 'ENST00000477901', 'ENST00000478315', 'ENST00000478844', 'ENST00000481827', 'ENST00000490709', 'ENST00000491889', 'ENST00000645097', 'ENST00000645252']
330	MA0738.1	HIC2	HIC2	ENSG00000169635	['ENST00000407464', 'ENST00000407598', 'ENST00000443632']
331	MA0740.1	KLF14	KLF14	ENSG00000266265	ENST00000583337
332	MA0741.1	KLF16	KLF16	ENSG00000129911	['ENST00000250916', 'ENST00000541015', 'ENST00000592313', 'ENST00000617223']
333	MA0743.1	SCRT1	SCRT1	ENSG00000284923	ENST00000645782
334	MA0744.1	SCRT2	SCRT2	ENSG00000215397	ENST00000246104
